Código OACI	CIAD	Nome	Município	UF	Município Servido	UF Servido	AntesLongitude	AntesLatitude	Altitude	Operação Diurna	Operação Noturna	Designação 1	Comprimento 1	Largura 1	Resistência 1	Superfície 1	Designação 2	Comprimento 2	Largura 2	Resistência 2	Superfície 2	Situação	Validade do Registro	Portaria de Registro	Link Portaria	Classe	longitude	latitude
SWML	PA0243	Fazenda Nova Santa Rita	ITAITUBA	Pará			056°29'27.0W"	06°48'05.0S"	251,0	VFR	Sem Operação	17/35	1000,0000	18,00	8/F/B/Y/U	Asfalto							04/12/2029	PA2019-3670	https://pergamum.anac.gov.br/arquivos/PA2019-3670.pdf	Privado	-56.4908333333300	-6.80138888888889
SNUX	MS0230	Fazenda Santo Antônio	RIBAS DO RIO PARDO	Mato Grosso do Sul			053°18'25.0W"	21°24'17.0S"	348,0	VFR	Sem Operação	11/29	1000,0000	20,00	5600 Kg /   0.50 MPa	Terra							01/07/2023	PA2013-1651	https://pergamum.anac.gov.br/arquivos/PA2013-1651.pdf	Privado	-53.3069444444400	-21.4047222222222
SIXF	MS0140	Fazenda Lageado	TRÊS LAGOAS	Mato Grosso do Sul			052°10'08.0W"	20°59'50.0S"	301,0	VFR	Sem Operação	14/32	1000,0000	18,00	5700 Kg /   0.50 MPa	Terra							19/04/2023	PA2017-0241	https://pergamum.anac.gov.br/arquivos/PA2017-0241.pdf	Privado	-52.1688888888900	-20.9972222222222
SINZ	PR0050	Xanadu	FERNANDES PINHEIRO	Paraná			050°31'40.0W"	25°26'17.0S"	852,0	VFR	Sem Operação	14/32	760,0000	30,00	8/F/C/Y/U	Terra							19/04/2023	PA2013-1020	https://pergamum.anac.gov.br/arquivos/PA2013-1020.pdf	Privado	-50.5277777777800	-25.4380555555556
SNYO	SP0240	Fazenda Rio Preto	GUARARAPES	São Paulo			050°41'21.0W"	21°22'45.0S"	489,0	VFR	Sem Operação	01/19	800,0000	18,00	5600 Kg /   0.50 MPa	Terra							05/06/2025	PA2015-1330	https://pergamum.anac.gov.br/arquivos/PA2015-1330.pdf	Privado	-50.6891666666700	-21.3791666666667
SSZG	MS0358	Fazenda São João	PARAÍSO DAS ÁGUAS	Mato Grosso do Sul			052°54'01.0W"	19°15'43.0S"	515,0	VFR	Sem Operação	05/23	1000,0000	20,00	5000 Kg /   0.50 MPa	Terra							09/11/2022	PA2018-0105	https://pergamum.anac.gov.br/arquivos/PA2018-0105.pdf	Privado	-52.9002777777800	-19.2619444444444
SDKL	RR0005	Caracaranã	NORMANDIA	Roraima			059°46'38.0W"	03°50'12.0N"	33,0	VFR	Sem Operação	13/31	920,0000	20,00	4000 Kg /   0.50 MPa	Piçarra							03/11/2030	PA2020-2883	https://pergamum.anac.gov.br/arquivos/PA2020-2883.pdf	Privado	-59.7772222222200	3.83666666666667
	RO0073	Alex Testoni	OURO PRETO DO OESTE	Rondônia			062°16'37.0W"	10°41'59.0S"	270,0	VFR	Sem Operação	01/19	1000,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							15/04/2031	PA2021-4743	https://pergamum.anac.gov.br/arquivos/PA2021-4743.pdf	Privado	-62.2769444444400	-10.6997222222222
SWDS	RO0046	Condomínio Aéreo Santos Dumont	JI-PARANÁ	Rondônia			061°59'36.0W"	10°57'14.0S"	194,0	VFR	Sem Operação	14/32	800,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							30/11/2028	PA2018-3571	https://pergamum.anac.gov.br/arquivos/PA2018-3571.pdf	Privado	-61.9933333333300	-10.9538888888889
SIRN	MT0124	Fazenda Jaó	NOVA XAVANTINA	Mato Grosso			051°59'09.0W"	14°46'09.0S"	297,0	VFR	Sem Operação	17/35	1450,0000	19,00	12/F/C/Y/U	Asfalto							29/12/2030	PA2020-3779	https://pergamum.anac.gov.br/arquivos/PA2020-3779.pdf	Privado	-51.9858333333300	-14.7691666666667
SJVB	SP0218	Bugio	PEDRINHAS PAULISTA	São Paulo			050°43'54.0W"	22°50'55.0S"	358,0	VFR	Sem Operação	07/25	700,0000	18,00	5600 Kg /   0.50 MPa	Terra							04/06/2028	PA2018-1872	https://pergamum.anac.gov.br/arquivos/PA2018-1872.pdf	Privado	-50.7316666666700	-22.8486111111111
SWQC	GO0143	Fazenda São Francisco	RIO VERDE	Goiás			051°35'42.0W"	17°30'10.0S"	952,0	VFR	Sem Operação	18/36	1200,0000	25,00	5700 Kg /   0.50 MPa	Cascalho							05/10/2021	PA2011-1915	https://pergamum.anac.gov.br/arquivos/PA2011-1915.pdf	Privado	-51.5950000000000	-17.5027777777778
SNUJ	MT0503	Fazenda São Francisco	INDIAVAÍ	Mato Grosso			058°34'18.0W"	15°20'50.0S"	310,0	VFR	Sem Operação	13/31	700,0000	18,00	5000 Kg /   0.50 MPa	Grama							02/05/2029	PA2019-1259	https://pergamum.anac.gov.br/arquivos/PA2019-1259.pdf	Privado	-58.5716666666700	-15.3472222222222
SWMO	MT0367	Fazenda Mirandópolis	JUSCIMEIRA	Mato Grosso			055°05'02.0W"	16°21'43.0S"	540,0	VFR	Sem Operação	10/28	850,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							07/04/2024	PA2014-0805	https://pergamum.anac.gov.br/arquivos/PA2014-0805.pdf	Privado	-55.0838888888900	-16.3619444444444
SJEQ	MS0160	Fazenda Cristal	CORUMBÁ	Mato Grosso do Sul			055°42'28.0W"	17°51'47.0S"	145,0	VFR	Sem Operação	18/36	700,0000	18,00	5000 Kg /   0.50 MPa	Grama							12/02/2025	PA2015-0366	https://pergamum.anac.gov.br/arquivos/PA2015-0366.pdf	Privado	-55.7077777777800	-17.8630555555556
SWFI	MT0506	Fazenda Santa Paula	CÁCERES	Mato Grosso			057°32'53.0W"	15°38'35.0S"	156,0	VFR	Sem Operação	02/20	1000,0000	20,00	5700 Kg /   0.50 MPa	Terra							12/06/2029	PA2019-2720	https://pergamum.anac.gov.br/arquivos/PA2019-2720.pdf	Privado	-57.5480555555600	-15.6430555555556
SSPC	MT0305	Fazenda Santa Júlia	COCALINHO	Mato Grosso			051°20'24.0W"	13°43'54.0S"	264,0	VFR	Sem Operação	08/26	1400,0000	30,00	5700 Kg /   0.50 MPa	Cascalho							27/11/2024	PA2014-2815	https://pergamum.anac.gov.br/arquivos/PA2014-2815.pdf	Privado	-51.3400000000000	-13.7316666666667
SSTU	MS0334	Fazenda Tujuri	ELDORADO	Mato Grosso do Sul			054°22'43.0W"	23°41'34.0S"	376,0	VFR	Sem Operação	09/27	1000,0000	18,00	5000 Kg /   0.50 MPa	Terra							26/12/2027	PA2017-4078	https://pergamum.anac.gov.br/arquivos/PA2017-4078.pdf	Privado	-54.3786111111100	-23.6927777777778
SIOI	MS0109	Fazenda Onça Parda	NOVO HORIZONTE DO SUL	Mato Grosso do Sul			053°43'45.0W"	22°39'45.0S"	346,0	VFR	Sem Operação	09/27	1000,0000	30,00	5700 Kg /   0.50 MPa	Grama							28/11/2024	PA2014-2841	https://pergamum.anac.gov.br/arquivos/PA2014-2841.pdf	Privado	-53.7291666666700	-22.6625
SWUX	TO0051	Fazenda 4 Amigos	ABREULÂNDIA	Tocantins			049°40'06.1W"	09°14'34.7S"	184,0	VFR	Sem Operação	18/36	800,0000	20,00	5700 Kg /   0.50 MPa	Cascalho							06/02/2023	PA2013-0341	https://pergamum.anac.gov.br/arquivos/PA2013-0341.pdf	Privado	-49.6683611111100	-9.24297222222222
SWFL	MT0341	Fazenda Peixe Bravo	SANTA TEREZINHA	Mato Grosso			050°22'57.5W"	10°05'38.2S"	183,0	VFR	Sem Operação	03/21	1190,0000	24,00	3500 Kg /   0.50 MPa	Cascalho							23/05/2024	PA2014-1198	https://pergamum.anac.gov.br/arquivos/PA2014-1198.pdf	Privado	-50.3826388888900	-10.0939444444444
SNIS	MA0039	Fazenda Rio Largo	CAXIAS	Maranhão			043°35'52.0W"	05°11'49.0S"	140,0	VFR	Sem Operação	01/19	1000,0000	21,00	3000 Kg /   0.50 MPa	Piçarra							25/01/2023	PA2013-0216	https://pergamum.anac.gov.br/arquivos/PA2013-0216.pdf	Privado	-43.5977777777800	-5.19694444444445
SITV	MS0131	Fazenda Serra Dourada	COXIM	Mato Grosso do Sul			054°27'34.0W"	18°32'42.0S"	326,0	VFR	Sem Operação	05/23	900,0000	40,00	5700 Kg /   0.50 MPa	Grama							26/07/2022	PA2012-1500	https://pergamum.anac.gov.br/arquivos/PA2012-1500.pdf	Privado	-54.4594444444400	-18.545
SJVU	MG0135	Maicom Manica	UNAÍ	Minas Gerais			047°06'26.0W"	16°38'40.0S"	615,0	VFR	Sem Operação	09/27	650,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							28/03/2027	PA2017-0869	https://pergamum.anac.gov.br/arquivos/PA2017-0869.pdf	Privado	-47.1072222222200	-16.6444444444444
SJJL	BA0115	Fazenda Campo Aberto	BARREIRAS	Bahia			045°57'53.0W"	11°47'18.0S"	737,0	VFR	Sem Operação	16/34	1080,0000	30,00	8/F/B/Y/U	Asfalto							26/10/2030	PA2020-2794	https://pergamum.anac.gov.br/arquivos/PA2020-2794.pdf	Privado	-45.9647222222200	-11.7883333333333
SSCU	PA0123	Fazenda Santa Marina	SANTA MARIA DAS BARREIRAS	Pará			050°28'46.0W"	08°52'05.0S"	307,0	VFR	Sem Operação	07/25	900,0000	20,00	5700 Kg /   0.50 MPa	Cascalho							28/02/2024	PA2014-0484	https://pergamum.anac.gov.br/arquivos/PA2014-0484.pdf	Privado	-50.4794444444400	-8.86805555555556
SSDW	MT0287	Fazenda Potrich	SORRISO	Mato Grosso			055°32'08.0W"	12°54'56.0S"	407,0	VFR	Sem Operação	17/35	1100,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							31/03/2024	PA2014-0756	https://pergamum.anac.gov.br/arquivos/PA2014-0756.pdf	Privado	-55.5355555555600	-12.9155555555556
SNZV	PA0122	Fazenda Jamaica	ULIANÓPOLIS	Pará			047°28'40.0W"	03°43'22.0S"	110,0	VFR	Sem Operação	07/25	750,0000	25,00	3000 Kg /   0.50 MPa	Cascalho							10/06/2023	PA2016-1474	https://pergamum.anac.gov.br/arquivos/PA2016-1474.pdf	Privado	-47.4777777777800	-3.72277777777778
SNQW	PA0102	Cururu	JACAREACANGA	Pará			057°44'32.0W"	07°33'52.0S"	138,0	VFR	Sem Operação	12/30	985,0000	25,00	12/F/B/Y/U	Piçarra							02/04/2025	PA2015-0209	https://pergamum.anac.gov.br/arquivos/PA2015-0209.pdf	Privado	-57.7422222222200	-7.56444444444444
SWCF	PA0137	Fazenda Califórnia	SÃO FÉLIX DO XINGU	Pará			051°29'50.0W"	09°44'15.0S"	800,0	VFR	Sem Operação	17/35	1062,0000	25,00	5000 Kg /   0.50 MPa	Cascalho							10/01/2024	PA2014-0061	https://pergamum.anac.gov.br/arquivos/PA2014-0061.pdf	Privado	-51.4972222222200	-9.7375
SIGT	SP0177	Fazenda Goiabeira	ITABERÁ	São Paulo			049°10'45.0W"	23°59'22.0S"	689,0	VFR	Sem Operação	05/23	700,0000	20,00	4600 Kg /   0.50 MPa	Terra										Privado	-49.1791666666700	-23.9894444444444
SJVF	MT0230	Fazenda Várzea Funda	CÁCERES	Mato Grosso			057°43'39.0W"	16°35'23.0S"	201,0	VFR	Sem Operação	03/21	900,0000	25,00	5600 Kg /   0.50 MPa	Cascalho							14/10/2024	PA2014-2396	https://pergamum.anac.gov.br/arquivos/PA2014-2396.pdf	Privado	-57.7275000000000	-16.5897222222222
SJJF	AM0034	Pousada do Rio Roosevelt	NOVO ARIPUANÃ	Amazonas			060°57'20.0W"	08°29'42.0S"	102,0	VFR	Sem Operação	05/23	700,0000	18,00	4600 Kg /   0.50 MPa	Terra							09/09/2030	PA2020-2267	https://pergamum.anac.gov.br/arquivos/PA2020-2267.pdf	Privado	-60.9555555555600	-8.495
SIFJ	MT0093	Fazenda Bom Jesus	PEDRA PRETA	Mato Grosso			054°06'36.0W"	16°47'39.0S"	721,0	VFR	Sem Operação	08/26	850,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							27/01/2024	PA2014-0197	https://pergamum.anac.gov.br/arquivos/PA2014-0197.pdf	Privado	-54.1100000000000	-16.7941666666667
SSQO	MG0188	Fazenda Sequóia	ANGELÂNDIA	Minas Gerais			042°15'55.0W"	17°39'10.0S"	1128,0	VFR	Sem Operação	09/27	1300,0000	20,00	5400 Kg /   0.50 MPa	Aço							19/12/2023	PA2013-3317	https://pergamum.anac.gov.br/arquivos/PA2013-3317.pdf	Privado	-42.2652777777800	-17.6527777777778
SWVK	MT0417	Fazenda Vale do Rio Celeste	NOVA UBIRATÃ	Mato Grosso			055°19'34.0W"	13°02'13.0S"	430,0	VFR	Sem Operação	16/34	800,0000	18,00	4300 Kg /   0.50 MPa	Cascalho							30/05/2022	PA2012-1073	https://pergamum.anac.gov.br/arquivos/PA2012-1073.pdf	Privado	-55.3261111111100	-13.0369444444444
	MT0732	AEROLUCK	SINOP	Mato Grosso			055°27'07.0W"	11°50'39.0S"	379,0	VFR	Sem Operação	10/28	700,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							15/04/2031	PA2021-4730	https://pergamum.anac.gov.br/arquivos/PA2021-4730.pdf	Privado	-55.4519444444400	-11.8441666666667
SWYC	MT0435	Fazenda Rancho Alegre I	VILA BELA DA SANTÍSSIMA TRINDADE	Mato Grosso			059°42'54.0W"	16°15'22.0S"	262,0	VFR	Sem Operação	18/36	1000,0000	20,00	5700 Kg /   0.50 MPa	Terra							25/05/2026	PA2016-1281	https://pergamum.anac.gov.br/arquivos/PA2016-1281.pdf	Privado	-59.7150000000000	-16.2561111111111
SIAO	MS0065	Fazenda Araras	CORGUINHO	Mato Grosso do Sul			055°15'07.0W"	19°37'47.0S"	455,0	VFR	Sem Operação	09/27	1000,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							10/12/2022	PA2012-2670	https://pergamum.anac.gov.br/arquivos/PA2012-2670.pdf	Privado	-55.2519444444400	-19.6297222222222
SDFZ	BA0072	Fazenda Santana	RIACHÃO DAS NEVES	Bahia			045°44'02.0W"	11°39'49.0S"	790,0	VFR	Sem Operação	12/30	1100,0000	20,00	5700 Kg /   0.50 MPa	Terra							30/12/2024	PA2014-3156	https://pergamum.anac.gov.br/arquivos/PA2014-3156.pdf	Privado	-45.7338888888900	-11.6636111111111
SDRV	MS0049	Tenoar	CHAPADÃO DO SUL	Mato Grosso do Sul			052°41'12.0W"	18°44'54.0S"	821,0	VFR	Sem Operação	03/21	1000,0000	20,00	5000 Kg /   0.50 MPa	Cascalho										Privado	-52.6866666666700	-18.7483333333333
SDOQ	MT0051	Fazenda Campo Claro	RIBEIRÃO CASCALHEIRA	Mato Grosso			051°44'22.0W"	12°40'27.0S"	346,0	VFR	Sem Operação	12/30	1100,0000	20,00	5.6 Kg /   0.50 MPa	Terra							30/11/2021	PA2018-1451	https://pergamum.anac.gov.br/arquivos/PA2018-1451.pdf	Privado	-51.7394444444400	-12.6741666666667
SDCJ	MT0032	Fazenda São Domingos	ALTO ARAGUAIA	Mato Grosso			053°35'28.0W"	17°41'13.0S"	568,0	VFR	Sem Operação	16/34	800,0000	40,00	5000 Kg /   0.50 MPa	Grama							28/09/2030	PA2020-2325	https://pergamum.anac.gov.br/arquivos/PA2020-2325.pdf	Privado	-53.5911111111100	-17.6869444444444
SSWN	MT0684	Fazenda Cayman	SÃO FÉLIX DO ARAGUAIA	Mato Grosso			051°43'28.0W"	11°32'26.0S"	280,0	VFR	Sem Operação	03/21	1400,0000	20,00	13/F/B/Y/T	Asfalto							09/09/2030	PA2020-2117	https://pergamum.anac.gov.br/arquivos/PA2020-2117.pdf	Privado	-51.7244444444400	-11.5405555555556
SIUG	SP0195	Fazenda Santa Irene	SANDOVALINA	São Paulo			051°54'34.0W"	22°29'42.0S"	340,0	VFR	Sem Operação	11/29	750,0000	30,00	4600 Kg /   0.50 MPa	Grama							13/06/2022	PA2012-1172	https://pergamum.anac.gov.br/arquivos/PA2012-1172.pdf	Privado	-51.9094444444400	-22.495
SISX	MS0126	Santa Terezinha	AQUIDAUANA	Mato Grosso do Sul			056°03'22.0W"	19°22'38.0S"	110,0	VFR	Sem Operação	07/25	400,0000	20,00	5600 Kg /   0.50 MPa	Grama							29/05/2025	PA2015-1278	https://pergamum.anac.gov.br/arquivos/PA2015-1278.pdf	Privado	-56.0561111111100	-19.3772222222222
	PA0273	Avelino Remor	RIO MARIA	Pará			050°02'59.0W"	07°18'05.0S"	206,0	VFR	Sem Operação	16/34	700,0000	18,00	5000 Kg /   0.50 MPa	Piçarra							09/04/2031	PA2021-4756	https://pergamum.anac.gov.br/arquivos/PA2021-4756.pdf	Privado	-50.0497222222200	-7.30138888888889
SDHK	GO0039	Fazenda Tulipa	CAMPINORTE	Goiás			049°02'47.0W"	14°06'38.0S"	523,0	VFR	Sem Operação	09/27	1000,0000	20,00	5600 Kg /   0.50 MPa	Terra							20/04/2027	PA2017-1157	https://pergamum.anac.gov.br/arquivos/PA2017-1157.pdf	Privado	-49.0463888888900	-14.1105555555556
SJSB	MS0184	Fazenda São Bento do Nabileque	CORUMBÁ	Mato Grosso do Sul			057°20'28.0W"	20°06'20.0S"	87,0	VFR	Sem Operação	06/24	800,0000	18,00	5700 Kg /   0.50 MPa	Grama							31/08/2026	PA2016-2292	https://pergamum.anac.gov.br/arquivos/PA2016-2292.pdf	Privado	-57.3411111111100	-20.1055555555556
SJLA	RR0046	Flechal	UIRAMUTÃ	Roraima			060°17'31.0W"	04°39'41.0N"	606,0	VFR	Sem Operação	09/27	700,0000	20,00	4000 Kg /   0.50 MPa	Cascalho							28/12/2022	PA2012-2846	https://pergamum.anac.gov.br/arquivos/PA2012-2846.pdf	Privado	-60.2919444444400	4.66138888888889
SJXS	BA0128	Veracel	BELMONTE	Bahia			039°21'50.0W"	16°06'16.0S"	133,0	VFR	VFR	08/26	1500,0000	30,00	13/F/C/X/T	Asfalto							29/01/2031	PA2020-BA0128	https://pergamum.anac.gov.br/arquivos/PA2020-BA0128.pdf	Privado	-39.3638888888900	-16.1044444444444
SSTY	RJ0027	Fazenda Tosana	CABO FRIO	Rio de Janeiro			042°01'30.0W"	22°35'49.0S"	3,0	VFR	Sem Operação	08/26	640,0000	30,00	2500 Kg /   0.50 MPa	Grama							10/10/2023	PA2013-2636	https://pergamum.anac.gov.br/arquivos/PA2013-2636.pdf	Privado	-42.0250000000000	-22.5969444444444
SBQD	MT0694	Fazenda Vaca Branca	ALTA FLORESTA	Mato Grosso			056°14'18.0W"	09°31'24.0S"	274,0	VFR	Sem Operação	06/24	850,0000	20,00	5700 Kg /   0.50 MPa	Terra							14/09/2030	PA2020-2199	https://pergamum.anac.gov.br/arquivos/PA2020-2199.pdf	Privado	-56.2383333333300	-9.52333333333333
SIIC	BA0087	Celeiro 1	JABORANDI	Bahia			045°32'28.4W"	14°22'11.2S"	838,0	VFR	Sem Operação	08/26	1270,0000	30,00	5700 Kg /   0.50 MPa	Cascalho							17/10/2026	PA2016-2567	https://pergamum.anac.gov.br/arquivos/PA2016-2567.pdf	Privado	-45.5412222222200	-14.3697777777778
SSYR	MA0049	José Mendes Ribeiro	SÃO JOÃO DOS PATOS	Maranhão			043°41'03.0W"	06°30'02.0S"	362,0	VFR	Sem Operação	16/34	600,0000	18,00	2155 Kg /   0.50 MPa	Piçarra							06/06/2022	PA2012-1116	https://pergamum.anac.gov.br/arquivos/PA2012-1116.pdf	Privado	-43.6841666666700	-6.50055555555556
SNIW	MS0211	Fazenda Carmelo	MARACAJU	Mato Grosso do Sul			055°19'53.0W"	21°28'42.0S"	499,0	VFR	Sem Operação	17/35	900,0000	18,00	5000 Kg /   0.50 MPa	Grama							05/09/2027	PA2017-2643	https://pergamum.anac.gov.br/arquivos/PA2017-2643.pdf	Privado	-55.3313888888900	-21.4783333333333
SWSC	MS0426	Fazenda São Carlos	PARAÍSO DAS ÁGUAS	Mato Grosso do Sul			053°06'10.0W"	19°10'39.0S"	690,0	VFR	Sem Operação	07/25	700,0000	18,00	5600 Kg /   0.50 MPa	Terra										Privado	-53.1027777777800	-19.1775
SDZK	RR0028	Waphuta	ALTO ALEGRE	Roraima			063°42'35.0W"	02°59'30.0N"	208,0	VFR	Sem Operação	13/31	350,0000	14,00	4000 Kg /   0.50 MPa	Terra							06/11/2030	PA2020-2924	https://pergamum.anac.gov.br/arquivos/PA2020-2924.pdf	Privado	-63.7097222222200	2.99166666666667
SINA	DF0004	Asas do Ar	BRASÍLIA	Distrito Federal			047°34'25.9W"	15°36'36.6S"	1159,0	VFR	Sem Operação	15/33	507,0000	18,00	5000 Kg /   0.50 MPa	Asfalto							23/12/2025	PA2015-3388	https://pergamum.anac.gov.br/arquivos/PA2015-3388.pdf	Privado	-47.5738611111100	-15.6101666666667
SNXA	CE0132	Brigadeiro Sampaio	TAMBORIL	Ceará			040°22'31.0W"	04°51'28.0S"	368,0	VFR	Sem Operação	10/28	790,0000	20,00	5700 Kg /   0.62 MPa	Terra							03/12/2030	PA2020-3160	https://pergamum.anac.gov.br/arquivos/PA2020-3160.pdf	Privado	-40.3752777777800	-4.85777777777778
SWFC	MT0339	Fazenda Cedro	LUCAS DO RIO VERDE	Mato Grosso			056°11'00.9W"	12°58'35.0S"	408,0	VFR	Sem Operação	18/36	1150,0000	18,00	5500 Kg /   0.50 MPa	Cascalho							29/01/2023	PA2013-0256	https://pergamum.anac.gov.br/arquivos/PA2013-0256.pdf	Privado	-56.1835833333300	-12.9763888888889
SNWJ	MT0274	Fazenda Rancho Grande	INDIAVAÍ	Mato Grosso			058°37'29.0W"	15°12'29.0S"	410,0	VFR	Sem Operação	17/35	900,0000	40,00	5000 Kg /   0.50 MPa	Grama							09/09/2023	PA2013-2310	https://pergamum.anac.gov.br/arquivos/PA2013-2310.pdf	Privado	-58.6247222222200	-15.2080555555556
SWFQ	TO0045	Fazenda Alvorada	PORTO NACIONAL	Tocantins			048°40'46.0W"	10°23'31.0S"	259,0	VFR	Sem Operação	03/21	1800,0000	30,00	6/F/B/X/T	Cascalho							30/12/2024	PA2016-0356	https://pergamum.anac.gov.br/arquivos/PA2016-0356.pdf	Privado	-48.6794444444400	-10.3919444444444
SSBY	MS0254	Orlando Chesini Ometto	MIRANDA	Mato Grosso do Sul			056°47'39.0W"	20°05'58.0S"	135,0	VFR	Sem Operação	18/36	1400,0000	20,00	10/F/C/Y/U	Asfalto							22/10/2030	PA2020-2573	https://pergamum.anac.gov.br/arquivos/PA2020-2573.pdf	Privado	-56.7941666666700	-20.0994444444444
SDDI	SP0086	Fazenda Tamara	SALMOURÃO	São Paulo			050°50'07.0W"	21°35'45.0S"	638,0	VFR	Sem Operação	16/34	600,0000	23,00	5600 Kg /   0.50 MPa	Terra							20/07/2022	PA2012-1451	https://pergamum.anac.gov.br/arquivos/PA2012-1451.pdf	Privado	-50.8352777777800	-21.5958333333333
SSVR	MA0112	Adão Veríssimo	ITINGA DO MARANHÃO	Maranhão			047°26'17.0W"	04°22'35.0S"	149,0	VFR	Sem Operação	10/28	800,0000	18,00	3000 Kg /   0.50 MPa	Cascalho							12/02/2030	PA2019-362	https://pergamum.anac.gov.br/arquivos/PA2019-362.pdf	Privado	-47.4380555555600	-4.37638888888889
SIFC	PE0013	Coroa do Avião	IGARASSU	Pernambuco			034°53'28.6W"	07°50'40.0S"	10,0	VFR	VFR	18/36	1145,0000	30,00	22/F/A/W/T	Asfalto							20/08/2022	PA2012-1657	https://pergamum.anac.gov.br/arquivos/PA2012-1657.pdf	Privado	-34.8912777777800	-7.84444444444444
SJMR	MS0177	Maragogipe	IGUATEMI	Mato Grosso do Sul			054°18'02.0W"	23°27'24.0S"	304,0	VFR	Sem Operação	01/19	1000,0000	18,00	3000 Kg /   0.50 MPa	Terra							22/07/2030	PA2020-1673	https://pergamum.anac.gov.br/arquivos/PA2020-1673.pdf	Privado	-54.3005555555600	-23.4566666666667
SWWZ	MT0482	Fazenda WSA	GENERAL CARNEIRO	Mato Grosso			053°27'33.0W"	15°23'01.0S"	522,0	VFR	Sem Operação	17/35	1000,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							06/01/2030	PA2019-24	https://pergamum.anac.gov.br/arquivos/PA2019-24.pdf	Privado	-53.4591666666700	-15.3836111111111
SSQG	PA0129	Fazenda Bom Gosto 	RONDON DO PARÁ	Pará			048°57'27.3W"	04°52'19.3S"	158,0	VFR	Sem Operação	04/22	700,0000	18,00	5000 Kg /   0.50 MPa	Piçarra							18/09/2028	PA2018-2816	https://pergamum.anac.gov.br/arquivos/PA2018-2816.pdf	Privado	-48.9575833333300	-4.87202777777778
SDOB	SP0129	Fazenda São José O.B.	TAPIRATIBA	São Paulo			046°45'16.0W"	21°25'31.0S"	803,0	VFR	Sem Operação	13/31	1240,0000	23,00	6/F/C/Y/U	Asfalto							05/12/2023	PA2013-3185	https://pergamum.anac.gov.br/arquivos/PA2013-3185.pdf	Privado	-46.7544444444400	-21.4252777777778
SDSG	MT0059	Ipiranga	ALTO TAQUARI	Mato Grosso			053°21'19.0W"	17°44'47.0S"	874,0	VFR	Sem Operação	05/23	1100,0000	30,00	5000 Kg /   0.50 MPa	Cascalho							11/07/2022	PA2012-1390	https://pergamum.anac.gov.br/arquivos/PA2012-1390.pdf	Privado	-53.3552777777800	-17.7463888888889
SWCD	MT0330	Colider	COLÍDER	Mato Grosso			055°27'44.0W"	10°45'40.0S"	300,0	VFR	Sem Operação	01/19	1000,0000	18,00	5700 Kg /   0.50 MPa	Cascalho							05/04/2026	PA2016-0794	https://pergamum.anac.gov.br/arquivos/PA2016-0794.pdf	Privado	-55.4622222222200	-10.7611111111111
SIHB	MA0019	Fazenda Soberana	GRAJAÚ	Maranhão			046°03'45.0W"	05°27'21.0S"	127,0	VFR	Sem Operação	05/23	718,0000	18,00	4500 Kg /   0.50 MPa	Cascalho							06/02/2023	PA2013-0347	https://pergamum.anac.gov.br/arquivos/PA2013-0347.pdf	Privado	-46.0625000000000	-5.45583333333333
SNCQ	PR0202	Dal Molin	SANTA IZABEL DO OESTE	Paraná			053°30'02.0W"	25°47'18.0S"	476,0	VFR	Sem Operação	11/29	300,0000	18,00	3500 Kg /   0.50 MPa	Grama										Privado	-53.5005555555600	-25.7883333333333
SSVX	PA0133	Valeu Boi Leilões	RIO MARIA	Pará			050°01'52.0W"	07°18'06.0S"	191,0	VFR	Sem Operação	11/29	799,0000	18,00	5000 Kg /   0.50 MPa	Piçarra							23/12/2025	PA2015-3387	https://pergamum.anac.gov.br/arquivos/PA2015-3387.pdf	Privado	-50.0311111111100	-7.30166666666667
SJPV	AL0022	Reserva Pituba	CORURIPE	Alagoas			036°05'24.0W"	10°05'11.0S"	40,0	VFR	Sem Operação	08/26	1452,0000	24,00	5700 Kg /   0.50 MPa	Terra							17/01/2030	PA2019-135	https://pergamum.anac.gov.br/arquivos/PA2019-135.pdf	Privado	-36.0900000000000	-10.0863888888889
SDDD	MS0027	Fazenda São Francisco	CORUMBÁ	Mato Grosso do Sul			055°47'04.0W"	17°51'39.0S"	132,0	VFR	Sem Operação	02/20	1200,0000	30,00	5700 Kg /   0.50 MPa	Grama							19/11/2022	PA2012-2478	https://pergamum.anac.gov.br/arquivos/PA2012-2478.pdf	Privado	-55.7844444444400	-17.8608333333333
SWAE	RR0106	Uaicas	ALTO ALEGRE	Roraima			063°10'56.0W"	03°32'42.0N"	330,0	VFR	Sem Operação	02/20	800,0000	30,00	3/F/B/Z/U	Grama							29/06/2025	PA2015-1596	https://pergamum.anac.gov.br/arquivos/PA2015-1596.pdf	Privado	-63.1822222222200	3.545
